SYMPTOM,VAERS_ID,AGE_YRS,DIED,L_THREAT,OTHER_MEDS,CUR_ILL,HISTORY,PRIOR_VAX,ALLERGIES,HOSPITAL,F,M,JANSSEN,MODERNA,PFIZER,VAX_DOSE_SERIES_1,VAX_DOSE_SERIES_2,VAX_SITE_LA,VAX_SITE_RA,AGE_GROUP
Vaccination site joint movement impairment,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Retinal artery thrombosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vaccination site joint erythema,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vaccination site irritation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Upper motor neurone lesion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Urine ketone body absent,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vaccination site papule,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ureterolithiasis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Road traffic accident,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vaccination site streaking,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Restless legs syndrome,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rosacea,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Paranasal sinus discomfort,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vaccine positive rechallenge,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Varicella zoster virus infection,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vaccination site inflammation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vaccination site discolouration,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ureteroscopy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Uterine spasm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Urine leukocyte esterase,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Reversible cerebral vasoconstriction syndrome,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Papule,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Urine output increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Prothrombin time prolonged,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pruritus genital,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Use of accessory respiratory muscles,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Urinary occult blood positive,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Retinal ischaemia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Prothrombin level,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Urinary hesitation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vaccination site infection,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
VIth nerve paralysis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Retinal haemorrhage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pancreatitis acute,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pulmonary function test,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pancreatic enlargement,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vaccination site cellulitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rheumatoid arthritis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Urethral pain,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vaccination site haemorrhage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pulmonary hilar enlargement,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Retinal tear,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Sleep disorder due to general medical condition, insomnia type",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vein rupture,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Water pollution,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Refusal of vaccination,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Renal artery arteriosclerosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Weight increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Weight bearing difficulty,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Renal cyst,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Radiculopathy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Waist circumference increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Respiratory depression,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Orchitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vulvovaginal swelling,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Renal disorder,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vulvovaginal rash,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Von Willebrand's factor antigen increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vomiting projectile,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Oral mucosal erythema,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Red cell distribution width increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Red cell distribution width,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Oral mucosal eruption,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Oral mucosal blistering,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Red blood cells urine,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Oral disorder,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
White blood cells urine positive,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Red blood cell nucleated morphology present,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Whole body scan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Withdrawal of life support,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Optical coherence tomography,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rectal tenesmus,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rectal examination abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Reaction to preservatives,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Optic neuritis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
X-ray of pelvis and hip,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vocal cord thickening,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vitamin D deficiency,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vitamin D,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
PCO2 decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pulmonary thrombosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vena cava embolism,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Respiration abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Venogram,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Renal tubular necrosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Venogram abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ventilation/perfusion scan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ventricular drainage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ventricular hypokinesia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Renal impairment,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
PO2 normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vestibular neuronitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
PO2 decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Punctate basophilia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Viral pericarditis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Renal function test,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Renal function test abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Viral rash,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pupillary disorder,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Viral test,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pupillary light reflex tests abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Viral test negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Visual acuity reduced,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Visual acuity tests,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Purulent discharge,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Visual field tests,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Otorrhoea,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Vital functions abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Osteitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pyelonephritis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Paranasal sinus hypersecretion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pemphigoid,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Protein urine,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Subdural haemorrhage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sulphur dioxide test,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pleurisy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skin discomfort,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Plicated tongue,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Poisoning,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Suffocation feeling,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skin erosion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Post-traumatic neck syndrome,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skin exfoliation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stress cardiomyopathy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Polymyalgia rheumatica,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Polypectomy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skin hyperpigmentation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Proctitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sunburn,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Product dose omission issue,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Superficial vein prominence,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ophthalmic herpes zoster,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Surgery,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Platelet count increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Suture insertion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Product leakage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Platelet count abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sweating fever,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sinus rhythm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Synovitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Physical examination abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sinus headache,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sinus bradycardia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sinus arrhythmia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Product monitoring error,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Post procedural haemorrhage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Streptococcus test positive,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Terminal ileitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Premature labour,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skin odour abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Splenic artery aneurysm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Spleen scan normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pregnancy test urine,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Spirometry,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Spinal cord injury,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Specific gravity urine increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Postural orthostatic tachycardia syndrome,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Specialist consultation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Social avoidant behaviour,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Slow response to stimuli,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Priapism,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Slit-lamp tests abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Primary headache associated with sexual activity,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skin mass,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Splenic infarction,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sputum increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pregnancy test negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Staphylococcal sepsis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Staphylococcus test negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Staphylococcus test positive,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stillbirth,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Procalcitonin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pregnancy test,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stoma site haemorrhage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skin irritation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pre-eclampsia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Stool analysis abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Posturing,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Posture abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skin induration,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tendonitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Raynaud's phenomenon,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Parkinson's disease,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Treponema test negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Troponin T normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Troponin I increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Troponin I,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Scan thyroid gland,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tri-iodothyronine free abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Protein total,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Scar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Prohormone brain natriuretic peptide increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Treatment noncompliance,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Traumatic fracture,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Scleral haemorrhage,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Screaming,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tonic clonic movements,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Prostate infection,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tympanometry,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Type IV hypersensitivity reaction,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Scan bone marrow normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Scan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Perfusion brain scan normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Scab,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Perfusion brain scan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Salmonella test positive,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pelvic venous thrombosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Peak expiratory flow rate,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Protein total increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Patient uncooperative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ultrasound bladder,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ultrasound breast abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ultrasound breast normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Salivary gland pain,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ultrasound scan vagina,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Prostate cancer,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tongue spasm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sinus arrest,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Shock,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sensation of blood flow,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Thyroid disorder,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Product substitution,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pharyngeal oedema,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Thrombophlebitis superficial,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Serum ferritin decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pharyngitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tongue rough,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Shock symptom,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Throat lesion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Phlebitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Thalamic infarction,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Testicular pain,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Photosensitivity reaction,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Peroneal nerve palsy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sedative therapy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Thyroid function test normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Peritoneal fluid analysis abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Thyroxine free decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Thyroxine free normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tic,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Peripheral sensory neuropathy,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Time perception altered,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Peripheral paralysis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Peripheral nerve injury,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tongue biting,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Prohormone brain natriuretic peptide,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tongue dry,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tongue movement disturbance,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pericoronitis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tongue oedema,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rash pustular,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Abdomen crushing,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Open reduction of fracture,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CSF pressure increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cardiac fibrillation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Carbon dioxide,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Capillary fragility,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Candida infection,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Caffeine consumption,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CSF red blood cell count positive,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CSF polymorphonuclear cell count increased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Breast inflammation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CSF monocyte count decreased,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Butterfly rash,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Burns second degree,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bullous haemorrhagic dermatosis,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bronchoscopy abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Breast tenderness,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cardiac monitoring abnormal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cardiac pacemaker evaluation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cardiac telemetry,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cardiac telemetry normal,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cardio-respiratory distress,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cardiogenic shock,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cardiolipin antibody negative,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cardiovascular disorder,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cardiovascular examination,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Carotid artery occlusion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
